id,movie_id,title,overview,popularity,poster,video,release_date,language,vote_average,is_active,slug,viewed
35,1122595,"Thing One and Thing Two","No plot details are known yet.",0.442,https://image.tmdb.org/t/p/original/None,#,2026-11-02,en,0.0,1,thing-one-and-thing-two,0
36,1288438,"Untitled Godzilla x Kong Sequel","The next installment in Legendary's Godzilla/Kong monster movie series. Plot TBA.",2.911,https://image.tmdb.org/t/p/original//cZ2TAkzd1t3sp7nUVHGfk2OWJ4m.jpg,#,2027-03-26,en,0.0,1,untitled-godzilla-x-kong-sequel,0
37,1382950,"Munjya 2","Plot TBA.",0.342,https://image.tmdb.org/t/p/original/None,#,2026-03-01,hi,0.0,1,munjya-2,0
38,1225335,bodybags,"A feature adaptation and expansion of the story in ""bodybag"" (2024).",1.302,https://image.tmdb.org/t/p/original/None,https://www.youtube.com/embed/2LtqDGqN9Mo,2026-10-30,en,0.0,1,bodybags,0
39,1355413,"Pela Adhi Akshar","Pela Adhi Akshar is a coming-of-age feel-good film that tries to explore the space between boys and girls, fact and fiction, reality and fantasy, and life and film. It is also everybody's story, an introspective look at lives of people we know so very well: Ourselves. Catch four friends at the crossroads of life, trying to tackle everybody's problem: What do we do with the rest of our lives?",1.057,https://image.tmdb.org/t/p/original//dCQqepZ9VZKl8PcY2ZbRuQUvpBz.jpg,https://www.youtube.com/embed/t86YlDlWDX0,2027-03-24,en,0.0,1,pela-adhi-akshar,0
40,1159559,"Scream 7","The seventh installment in the 'Scream' franchise. Plot TBA.",14.414,https://image.tmdb.org/t/p/original//ki5azTlJJUQYKi1Aj2HHPmU4H8Z.jpg,#,2026-02-25,en,0.0,1,scream-7,0
41,1371144,"Paper Cuts","A deeper look into Switzerland's counterfeits during WWII.",0.508,https://image.tmdb.org/t/p/original/None,#,2026-10-28,en,0.0,1,paper-cuts,0
42,1231322,"The Wandering Earth III","The sun is about to be destroyed, and humans have built huge thrusters on the surface of the earth to find a new home. However, the road to the universe is full of dangers. In order to save the earth, young people from the wandering earth era stepped forward for the third time and started a life-and-death battle against time.",2.857,https://image.tmdb.org/t/p/original//6J47ApJVOmNrHJezrxnRaTDXBfx.jpg,#,2027-02-06,zh,0.0,1,the-wandering-earth-iii,0
43,1301421,"Three Bags Full: A Sheep Detective Movie","George Hardy, a shepherd who loves his sheep and raises them only for their wool. Every night he reads aloud a murder mystery, pretending his sheep can understand, never suspecting that not only can they understand, but they argue for hours afterwards about whodunnit. When George is found dead under mysterious circumstances, the sheep realise at once that it was a murder and think they know everything about how to go about solving it. The local cop Tim Derry, on the other hand, has never solved a serious crime in his life, so the sheep conclude they will have to solve it themselves, even if it means leaving their meadow for the first time and facing the fact that the human world isn’t as simple as it appears in books.",3.71,https://image.tmdb.org/t/p/original/None,#,2026-02-20,en,0.0,1,three-bags-full-a-sheep-detective-movie,0
44,1102464,"Untitled Jordan Peele Film","Untitled fourth film directed by Jordan Peele, cast and plot kept under wraps.",0.924,https://image.tmdb.org/t/p/original/None,#,2026-10-23,en,0.0,1,untitled-jordan-peele-film,0
